dimensions, bond type, name,H2,CH4,a,Kh_H2,Kh_CH4,DCH4,DH2,k(CH4/H2),aIM(CH4/H2),aIM(H2/CH4),kIM(CH4/H2),kIM(H2/CH4),MPS,#VALUE!,score,rmps,mps,PH2,PCH4,aIM, void fraction [widom], supercell volume [A^3], density [kg/m^3], surface area [m^2/g], deliverable capacity [v STP/v],dimensions, num carbon, num fluorine, num hydrogen, num nitrogen, num oxygen, num sulfur, num silicon, vertices, edges, genus, largest included sphere diameter [A], largest free sphere diameter [A], largest included sphere along free sphere path diameter [A],0,,
3, CC, linker108_C_linker8_C_qtz_relaxed,0.524602,1.61581,30.80068318,0.0497088,3.14022,6.18E-08,2.44E-07,7.813259462,63.17231557,0.015829719,16.02502417,0.062402402,4529775432,9285562197,9.453955049,-7.80E+11,9290586230,36178098.12,579754896.7,6.32E+01,0.605081,51331.22432,823.5935889,1775.17,98.31285989,3,1344,0,480,192,384,0,0,1,1,4,10.99855,10.79906,10.99854,45,0.004513541,1
3, CC, linker110_C_linker92_C_xux_relaxed,0.745157,1.75731,23.58308383,0.0584665,1.498,5.68E-08,1.71E-07,7.843569956,25.62150975,0.039029706,8.521536267,0.117349732,1993374983,2163049118,9.413564149,-3.42E+11,2165674216,29823412.31,254141289.6,2.56E+01,0.707735,69055.97763,665.684429,3189.27,82.83451649,3,544,0,384,0,0,0,0,2,2,4,8.11495,5.2586,8.11476,46,0.004613842,1
3, CC, linker102_C_linker91_C_xux_relaxed,0.795908,1.76259,22.14565,0.0598112,1.40396,5.06E-08,1.43E-07,7.816803599,23.47319566,0.042601784,8.285390598,0.12069437,1658096446,1754975705,9.291261746,-2.85E+11,1757492885,25601629.08,212119496.8,2.35E+01,0.751085,36837.20433,706.0527038,3344.79,91.68986261,3,936,0,384,288,0,0,0,2,2,4,6.4779,5.25597,6.17134,47,0.004714142,1
3, CC, linker102_C_linker92_C_xux_relaxed,0.717006,1.86638,26.03018664,0.0550335,1.5147,2.75E-08,9.13E-08,7.83616085,27.52323585,0.036332937,8.285630303,0.120690878,974357608.2,1027847240,9.264131036,-1.67E+11,1030245177,15006848.12,124341195.5,2.75E+01,0.68253,38154.90261,669.2844417,3306.39,73.2550679,3,1224,0,672,0,0,0,0,2,2,4,5.78084,4.67832,5.7808,48,0.004814443,1
3, CC, linker110_C_linker41_C_cdl_relaxed,0.214023,1.40287,65.54762806,0.036483,5.17701,2.67E-08,2.26E-07,7.74122129,141.9019817,0.007047118,16.75872453,0.059670412,3196486898,6914899389,9.154921875,-5.56E+11,6919973138,24638966.33,412917649.3,1.42E+02,0.188504,34768.12412,1119.99818,254.237,8.451713567,3,1536,0,1152,128,128,0,0,1,3,5,5.3651,4.32675,5.36505,49,0.004914744,1
3, CC, linker108_C_linker68_C_qtz_relaxed,0.625086,1.61813,25.88651802,0.0557206,2.6163,5.64E-08,1.90E-07,7.677480915,46.95390933,0.021297481,13.92569454,0.071809704,3383841474,6133421806,8.959018934,-5.93E+11,6137734925,31650049.88,440748926.9,4.70E+01,0.69777,50022.27585,708.0434668,2193.12,123.9639241,3,1152,0,384,288,192,0,0,1,1,4,13.41874,13.24224,13.41874,50,0.005015045,1
3, CC, linker108_C_linker4_C_qtz_relaxed,0.584297,1.47242,25.19985555,0.0505905,1.93837,5.68E-08,1.93E-07,7.405027046,38.31490102,0.026099506,11.25890892,0.088818553,2434084586,3697421069,8.077216663,-4.42E+11,3700882722,29195284.48,328707048.7,3.83E+01,0.656843,51381.12984,683.1871746,2049.59,114.4987595,3,1344,0,576,96,192,0,0,1,1,4,13.55636,13.37624,13.55635,51,0.005115346,1
3, CC, linker108_C_linker87_C_dmp_relaxed,0.422791,1.18736,28.08385231,0.0365752,1.15252,4.86E-08,1.86E-07,7.320053613,31.51096918,0.031734981,8.213331322,0.121753277,1223906489,1370817905,7.718882852,-2.25E+11,1373261731,20357040.14,167199115.4,3.15E+01,0.427693,29766.26957,938.3033545,1356.76,43.90437977,3,1344,0,672,0,0,0,0,1,2,5,6.74774,5.1794,6.36493,52,0.005215647,1
3, CC, linker100_C_linker102_C_cda_relaxed,0.430198,2.34779,54.57463772,0.0440686,3.25531,1.09E-08,8.24E-08,7.209816372,73.86914946,0.013537451,9.758800524,0.10247161,762746058.2,1029668002,7.339755345,-1.42E+11,1032410016,10840749.95,105792716.3,7.39E+01,0.469505,43051.77421,869.8665748,1300.99,62.7662276,3,1632,0,896,0,128,0,0,2,2,7,6.59903,6.24851,6.59505,53,0.005315948,1
3, CC, linker102_C_linker100_C_cda_relaxed,0.430198,2.34779,54.57463772,0.0440686,3.25531,1.09E-08,8.24E-08,7.209816372,73.86914946,0.013537451,9.758800524,0.10247161,762746058.2,1029668002,7.339755345,-1.42E+11,1032410016,10840749.95,105792716.3,7.39E+01,0.468609,43051.77421,869.8665748,1300.99,59.50553899,3,1632,0,896,0,128,0,0,2,2,7,6.59903,6.24851,6.59505,54,0.005416249,1
3, CC, linker91_C_linker91_C_bpc_relaxed,0.877361,2.54558,29.01405465,0.071786,2.17971,4.21E-08,1.81E-07,6.740080184,30.36399855,0.032933739,7.053677516,0.14177002,1845154664,1928779042,6.391674512,-3.69E+11,1931004619,38810756.83,273758562.8,3.04E+01,0.838841,43226.91273,767.5733775,3315.94,91.24138161,3,768,0,0,768,0,0,0,2,4,5,6.73716,5.21202,6.73713,55,0.00551655,1
2, CC, linker101_C_linker53_C_kgm_relaxed,0.51545,1.09281,21.20108643,0.041651,0.891759,6.45E-08,2.06E-07,6.63957459,21.41026626,0.046706565,6.705083737,0.149140568,1140341851,1149555834,6.106880826,-2.31E+11,1151592996,25614778.4,171749234.1,2.14E+01,0.518145,55683.5611,589.0378822,1829.14,112.8245969,2,1296,0,1152,216,0,0,0,1,1,0,15.4275,12.85175,15.4265,56,0.005616851,1
3, CC, linker91_C_linker91_C_bpm_relaxed,0.886877,2.29064,25.82815881,0.0706903,1.9567,9.37E-08,3.71E-07,6.519610654,27.67989385,0.036127306,6.987030402,0.14312232,3567583083,3821009064,6.080790899,-7.37E+11,3823358906,78317677.86,547207996.2,2.77E+01,0.82586,32004.03343,777.5541982,3213.07,84.43326042,3,576,0,0,576,0,0,0,2,5,9,6.81857,5.33672,6.732,57,0.005717151,1
3, CC, linker99_C_linker13_C_qtz_relaxed,0.512281,1.12575,21.97524406,0.036699,1.02023,3.04E-08,1.01E-07,6.63758801,27.79994005,0.035971301,8.396928302,0.119091168,614170550.1,774597992.2,5.995528173,-1.25E+11,776960857.8,11019407.67,92529176.14,2.78E+01,0.496013,36714.83127,675.023587,1831.68,69.80811386,3,1152,0,1080,0,0,0,0,1,1,4,7.89237,7.60841,7.89235,58,0.005817452,1
