 name,H2,CH4,aIM,Kh_H2,Kh_CH4,DCH4,DH2,k(CH4/H2),k(H2/CH4),aIM(CH4/H2),aIM(H2/CH4),kIM(CH4/H2),kIM(H2/CH4),MPS,score2,Sh2/ch4,score,rmps,PH2,PCH4,score1,Kh_H2,Kh_CH4, void fraction [widom], supercell volume [A^3],dimensions, density [kg/m^3], surface area [m^2/g], deliverable capacity [v STP/v], num carbon, num fluorine, num hydrogen, num nitrogen, num oxygen, num sulfur, num silicon, vertices, edges, genus, largest included sphere diameter [A], largest free sphere diameter [A], largest included sphere along free sphere path diameter [A],0,0,TOP
 linker109_C_linker7_C_qzd_relaxed,0.609799,0.597552,10.6066737,0.0415182,0.44037,1.58E-08,2.30E-56,7.29476E+48,1.37E-49,10.6066737,0.094280264,7.29476E+48,1.37085E-49,1.51391E+56,33.44464173,1.004042768,3.19281E+97,1.51391E+56,2.84497E-42,20753345.47,3.19281E+97,0.0415182,0.44037,0.599248,41525.24064,3,566.507551,3517.91,115.2503013,1107,0,864,0,0,0,0,1,2,4,7.11102,6.51249,7.11021,32,0.003679007,1
 linker106_CO_linker6_NH_und_relaxed_interp_2,0.693287,0.330779,5.404794293,0.0439606,0.237598,2.22E-08,6.62E-54,1.81192E+46,5.52E-47,5.404794293,0.185020918,1.81192E+46,5.51902E-47,2.85014E+53,31.83357405,1.004042768,1.96982E+92,2.85014E+53,8.68141E-40,15729980.55,1.96982E+92,0.0439606,0.237598,0.786117,171819.6012,3,441.9448364,4802.49,160.8718068,1792,0,1152,768,768,0,0,1,2,9,13.87246,9.71691,13.47047,33,0.003793976,1
 linker108_N_linker58_CH_ukk_relaxed_interp_3,0.632759,0.408403,6.588177442,0.0422988,0.278672,1.30E-08,1.93E-53,4.44383E+45,2.25E-46,6.588177442,0.151787047,4.44383E+45,2.25031E-46,4.80035E+52,31.40206072,1.004042768,1.18486E+91,4.80035E+52,2.43085E-39,10802297.22,1.18486E+91,0.0422988,0.278672,0.679715,137197.7376,3,537.342957,3806.91,139.3720118,2688,0,1344,768,0,0,0,1,3,9,11.26988,9.13652,11.20175,34,0.003908945,1
 linker102_C_linker49_C_sra_relaxed,0.70897,0.428828,6.448238045,0.0447713,0.288696,4.47E-09,8.16E-54,3.5333E+45,2.83E-46,6.448238045,0.155081123,3.5333E+45,2.83022E-46,1.36098E+52,31.16317668,1.004042768,7.49052E+90,1.36098E+52,1.09016E-39,3851865.337,7.49052E+90,0.0447713,0.288696,0.750848,71256.88709,3,468.8125205,4944.2,172.1344491,1376,0,768,128,64,0,0,1,3,5,10.75003,8.31396,10.73551,35,0.004023914,1
 linker110_C_linker78_C_unj_relaxed,0.659857,0.402999,6.521462136,0.0417526,0.272288,3.26E-08,7.50E-53,2.83651E+45,3.53E-46,6.521462136,0.153339846,2.83651E+45,3.52546E-46,7.52511E+52,31.44116194,1.004042768,4.82746E+90,7.52511E+52,9.35287E-39,26529493.97,4.82746E+90,0.0417526,0.272288,0.717972,57527.27502,3,482.7170015,3867.6,161.1002596,960,0,960,192,96,0,0,1,2,7,12.41935,12.27504,12.41935,36,0.004138883,1
 linker97_C_linker91_C_nox_relaxed_interp_3,0.775417,0.414233,5.534971975,0.0502774,0.278284,2.97E-08,6.39E-51,2.57324E+43,3.89E-44,5.534971975,0.180669388,2.57324E+43,3.88615E-44,6.35354E+50,30.20330237,1.004042768,3.97294E+86,6.35354E+50,9.59523E-37,24690824.05,3.97294E+86,0.0502774,0.278284,0.846101,65851.43926,3,371.3766057,6221.04,186.7019137,960,0,504,192,0,0,0,2,3,7,13.67722,10.55168,13.67722,37,0.004253851,1
 linker99_N_linker9_CH_vba_relaxed_interp_2,0.741245,0.360435,5.399150877,0.0461417,0.249126,1.09E-08,1.16E-50,5.09017E+42,1.96E-43,5.399150877,0.185214309,5.09017E+42,1.96457E-43,4.14368E+49,29.58830096,1.004042768,1.55459E+85,4.14368E+49,1.59927E-36,8140545.288,1.55459E+85,0.0461417,0.249126,0.815101,145352.7499,3,341.1361868,7255.57,179.9041575,2048,0,1664,256,0,0,0,1,4,9,11.6758,8.92885,9.80709,38,0.00436882,1
 linker110_C_linker7_C_ull_relaxed,0.619459,0.909533,15.31861166,0.0440756,0.675177,1.48E-10,5.02E-49,4.52291E+39,2.21E-40,15.31861166,0.065280067,4.52291E+39,2.21097E-40,1.35229E+45,27.18351201,1.004042768,1.2274E+79,1.35229E+45,6.61052E-35,298987.8583,1.2274E+79,0.0440756,0.675177,0.626067,48679.10126,3,557.5264476,3408.67,118.1521413,1248,0,1344,0,0,0,0,1,3,25,17.46831,6.64541,17.46831,39,0.004483789,1
 linker110_C_linker87_C_mer_relaxed,0.700757,0.338147,5.962414236,0.0449053,0.267744,9.96E-10,6.34E-48,9.35978E+38,1.07E-39,5.962414236,0.167717297,9.35978E+38,1.0684E-39,7.44945E+44,26.9431028,1.004042768,5.25633E+77,7.44945E+44,8.50341E-34,795900.3434,5.25633E+77,0.0449053,0.267744,0.819345,45306.79231,3,333.5465143,4437.63,159.9188469,704,0,640,0,0,0,0,1,4,17,20.32248,13.65684,15.21515,40,0.004598758,1
 linker105_CH2_linker32_NH_qtz_relaxed_interp_3,0.6575,0.338943,5.690698781,0.0413849,0.235509,2.06E-08,1.01E-44,1.161E+37,8.61E-38,5.690698781,0.175725344,1.161E+37,8.61326E-38,1.6774E+44,26.30282107,1.004042768,8.08753E+73,1.6774E+44,1.24443E-30,14447879.59,8.08753E+73,0.0413849,0.235509,0.759421,26825.60883,3,371.4452145,4807.72,141.593791,324,0,306,108,18,0,0,1,1,4,20.17263,17.99491,20.17263,41,0.004713727,1
